,Timestamp,Ground_truth,Predicted_value
1975,44.967,Start to Run,Start to walk
1976,44.991,Start to Run,Start to walk
1977,45.015,Start to Run,Start to walk
1978,45.032,Start to Run,Start to walk
1979,45.06,Start to Run,Stand
1980,45.082,Start to Run,Stand
1981,45.102,Run,Start to walk
1982,45.124,Run,Start to walk
1983,45.147,Run,Start to walk
1984,45.169,Run,Start to walk
1985,45.192,Run,Start to walk
1986,45.214,Run,Start to walk
1987,45.235,Run,Start to walk
1988,45.257,Run,Start to walk
1989,45.28,Run,Start to walk
1990,45.302,Run,Start to walk
1991,45.324,Run,Start to walk
1992,45.344,Run,Start to walk
1993,45.368,Run,Stand
1994,45.389,Run,Stand
1995,45.411,Run,Stand
1996,45.434,Run,Stand
1997,45.456,Run,Stand
1998,45.477,Run,Stand
1999,45.5,Run,Stand
2000,45.522,Run,Start to walk
2001,45.564,Run,Stand
2002,45.574,Run,Stand
2003,45.597,Run,Stand
2004,45.618,Run,Start to walk
2005,45.64,Run,Start to walk
2006,45.661,Run,Start to walk
2007,45.685,Run,Start to walk
2008,45.707,Run,Start to walk
2009,45.728,Run,Start to walk
2010,45.75,Run,Start to walk
2011,45.774,Run,Walk
2012,45.796,Run,Start to walk
2013,45.816,Run,Start to walk
2014,45.838,Run,Start to walk
2015,45.862,Run,Start to walk
2016,45.883,Run,Start to walk
2017,45.904,Run,Start to walk
2018,45.927,Run,Start to walk
2019,45.951,Run,Start to walk
2020,45.972,Run,Start to walk
2021,45.995,Run,Start to walk
2022,46.021,Run,Stand
2023,46.037,Run,Stand
2024,46.059,Run,Stand
2025,46.08,Run,Stand
2026,46.103,Run,Stand
2027,46.125,Run,Start to walk
2028,46.147,Run,Start to walk
2029,46.169,Run,Stand
2030,46.191,Run,Start to walk
2031,46.213,Run,Start to walk
2032,46.235,Run,Start to walk
2033,46.257,Run,Start to walk
2034,46.281,Run,Start to walk
2035,46.301,Run,Start to walk
2036,46.325,Run,Start to walk
2037,46.345,Run,Start to walk
2038,46.37,Run,Start to walk
2039,46.39,Run,Start to walk
2040,46.413,Run,Start to walk
2041,46.434,Run,Start to walk
2042,46.457,Run,Start to walk
2043,46.478,Run,Start to walk
2044,46.506,Run,Start to walk
2045,46.522,Run,Start to walk
2046,46.544,Run,Start to walk
2047,46.566,Run,Start to walk
2048,46.588,Run,Start to walk
