,Timestamp,Ground_truth,Predicted_value
483,11.415,Run,Stand
484,11.437,Run,Stand
485,11.459,Run,Stand
486,11.482,Run,Stand
487,11.504,Run,Stand
488,11.525,Run,Stand
489,11.547,Run,Stand
490,11.57,Run,Stand
491,11.592,Run,Stand
492,11.614,Run,Stand
493,11.636,Run,Stand
494,11.658,Run,Stand
495,11.68,Run,Stand
496,11.702,Run,Stand
497,11.725,Run,Stand
498,11.746,Run,Stand
499,11.771,Run,Stand
500,11.79,Run,Stand
501,11.813,Run,Stand
502,11.835,Run,Stand
503,11.857,Run,Stand
504,11.88,Run,Stand
505,11.902,Run,Stand
506,11.924,Run,Stand
507,11.946,Run,Stand
508,11.968,Run,Stand
509,11.992,Run,Stand
510,12.012,Run,Stand
511,12.034,Run,Stand
512,12.058,Run,Stand
513,12.078,Run,Stand
514,12.1,Run,Stand
515,12.122,Run,Stand
516,12.144,Run,Stand
517,12.166,Run,Stand
518,12.189,Run,Stand
519,12.21,Run,Stand
520,12.233,Run,Stand
521,12.257,Run,Stand
522,12.277,Run,Stand
523,12.299,Run,Stand
524,12.323,Run,Stand
525,12.344,Run,Stand
526,12.365,Run,Stand
527,12.388,Run,Stand
528,12.41,Run,Stand
529,12.434,Run,Stand
530,12.453,Run,Stand
531,12.478,Run,Stand
532,12.499,Run,Stand
533,12.523,Run,Stand
534,12.543,Run,Stand
535,12.566,Run,Stand
536,12.586,Run,Stand
537,12.611,Run,Stand
538,12.631,Run,Stand
539,12.654,Run,Stand
540,12.675,Run,Stand
541,12.703,Run,Stand
542,12.723,Run,Stand
543,12.749,Run,Stand
544,12.768,Run,Stand
545,12.793,Run,Stand
546,12.812,Run,Stand
547,12.836,Run,Stand
548,12.857,Run,Stand
549,12.88,Run,Stand
550,12.901,Run,Stand
551,12.925,Run,Stand
552,12.945,Run,Stand
553,12.967,Run,Stand
554,12.988,Run,Stand
555,13.01,Run,Stand
556,13.034,Run,Stand
557,13.056,Run,Stand
558,13.077,Run,Stand
559,13.099,Run,Stand
560,13.121,Run,Stand
561,13.143,Run,Stand
562,13.165,Run,Stand
563,13.187,Start to walk,Stand
564,13.209,Start to walk,Stand
565,13.231,Start to walk,Stand
566,13.253,Start to walk,Stand
567,13.275,Start to walk,Stand
568,13.3,Start to walk,Stand
569,13.32,Start to walk,Stand
570,13.342,Start to walk,Stand
571,13.364,Start to walk,Stand
572,13.388,Start to walk,Stand
573,13.409,Start to walk,Stand
574,13.432,Start to walk,Stand
575,13.453,Start to walk,Stand
576,13.477,Start to walk,Stand
577,13.496,Start to walk,Stand
578,13.519,Start to walk,Stand
579,13.543,Start to walk,Stand
580,13.565,Start to walk,Stand
581,13.586,Start to walk,Stand
582,13.61,Start to walk,Stand
583,13.63,Start to walk,Stand
584,13.654,Start to walk,Stand
585,13.673,Start to walk,Stand
586,13.701,Start to walk,Stand
587,13.72,Start to walk,Stand
588,13.741,Start to walk,Stand
589,13.767,Start to walk,Stand
590,13.791,Start to walk,Stand
